レベル,関数,カテゴリ,起点,処理概要,コメント(英語),コメント(日本語),参照データ,ファイル,実行形態
,appDssConfigurePm(),表示制御,関数呼び出し,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: ==========================================================================）,==========================================================================,==========================================================================,ioExpCfg,utils/dss/src/app_dss_soc.c,共通/その他
,appDssConfigureUB941AndUB925(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: Configures the I2C instance with the passed parameters）,Configures the I2C instance with the passed parameters,Configures the I2C instance with the passed parameters,"gI2cHandle, i2cCfg, gI2cDsiBridgeCfg",utils/dss/src/app_dss_soc.c,共通/その他
,appDssPrepareSN65I2cConfig(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する,,,"gI2cDsiBridgeCfg, gI2cHandle",utils/dss/src/app_dss_soc.c,共通/その他
,appDssSN65DsiErrorRegRead(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: Enable Power Switch control）,Enable Power Switch control,Enable Power Switch control,"gI2cHandle, gI2cDsiBridgeCfg",utils/dss/src/app_dss_soc.c,共通/その他
,EthApp_closeDmaCb(),割り込み,タスクループ,DMA完了などのHW割り込みで次処理を起動・状態更新する（注記: 開始する the software-based interVLAN routing）,Start the software-based interVLAN routing,開始する the software-based interVLAN routing,"pInterVlanCfg, gEthAppObj, getHandle",utils/ethfw/src/app_ethfw_freertos.c,共通/その他
,EthApp_configPtpCb(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う,,,"gEthAppObj, getHandle",utils/ethfw/src/app_ethfw_freertos.c,共通/その他
,EthApp_filterAddMacSharedCb(),その他,タスクループ,"一般的な制御ロジックを実行する（注記: Application callback function to handle addition of a shared mcast
 * address in the ALE）","Application callback function to handle addition of a shared mcast
 * address in the ALE","Application callback function to handle addition of a shared mcast
 * address in the ALE",,utils/ethfw/src/app_ethfw_freertos.c,共通/その他
,EthApp_filterDelMacSharedCb(),その他,タスクループ,"一般的な制御ロジックを実行する（注記: Application callback function to handle deletion of a shared mcast
 * address from the ALE）","Application callback function to handle deletion of a shared mcast
 * address from the ALE","Application callback function to handle deletion of a shared mcast
 * address from the ALE",,utils/ethfw/src/app_ethfw_freertos.c,共通/その他
,EthApp_initLwip(),初期化,関数呼び出し,"モジュールやパラメータを初期化し、実行準備を行う（注記: we have to wait for initialization to finish before
   * calling update_adapter()!）","we have to wait for initialization to finish before
     * calling update_adapter()!","we have to wait for initialization to finish before
   * calling update_adapter()!","gEthAppObj, pInterVlanCfg",utils/ethfw/src/app_ethfw_freertos.c,共通/その他
,EthApp_initNetif(),初期化,関数呼び出し,モジュールやパラメータを初期化し、実行準備を行う（注記: Enable iperf）,Enable iperf,Enable iperf,"gEthAppObj, pInterVlanCfg",utils/ethfw/src/app_ethfw_freertos.c,共通/その他
,EthApp_initPtp(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う（注記: Apply phase adjustment directly to the HW）,Apply phase adjustment directly to the HW,Apply phase adjustment directly to the HW,"getHandle, gEthAppObj",utils/ethfw/src/app_ethfw_freertos.c,共通/その他
,EthApp_lwipMain(),初期化,関数呼び出し,モジュールやパラメータを初期化し、実行準備を行う（注記: Report port linked as long as any port owned by EthFw is up）,Report port linked as long as any port owned by EthFw is up,Report port linked as long as any port owned by EthFw is up,"gEthAppObj, pInterVlanCfg",utils/ethfw/src/app_ethfw_freertos.c,共通/その他
,EthApp_netifStatusCb(),割り込み,タスクループ,DMA完了などのHW割り込みで次処理を起動・状態更新する（注記: ETHAPP_LWIP_USE_DHCP）,ETHAPP_LWIP_USE_DHCP,ETHAPP_LWIP_USE_DHCP,"gEthAppObj, pInterVlanCfg, getHandle",utils/ethfw/src/app_ethfw_freertos.c,共通/その他
,EthApp_openDmaCb(),割り込み,タスクループ,DMA完了などのHW割り込みで次処理を起動・状態更新する（注記: Issue link down to Lwip stack and close the Lwip DMA channels）,Issue link down to Lwip stack and close the Lwip DMA channels,Issue link down to Lwip stack and close the Lwip DMA channels,"pInterVlanCfg, gEthAppObj, getHandle",utils/ethfw/src/app_ethfw_freertos.c,共通/その他
,EthApp_portLinkStatusChangeCb(),IPC通信,IPC通知起点,CPU間のイベント・パラメータ更新を通知／受信する（注記: Save host port MAC address）,Save host port MAC address,Save host port MAC address,"ethFwCfg, Cpsw_Cfg, cpswCfg, EnetDma_Cfg, dmaCfg, resCfg, EthFwMcast_SharedMcastCfg, sharedMcastCfg, mcastCfg, EthFwMcast_RsvdMcastCfg",utils/ethfw/src/app_ethfw_freertos.c,共通/その他
,EthApp_startHwInterVlan(),割り込み,タスクループ,DMA完了などのHW割り込みで次処理を起動・状態更新する（注記: Functions called from Config server library based on selection from GUI）,Functions called from Config server library based on selection from GUI,Functions called from Config server library based on selection from GUI,"pInterVlanCfg, gEthAppObj, getHandle",utils/ethfw/src/app_ethfw_freertos.c,共通/その他
,EthApp_startSwInterVlan(),割り込み,タスクループ,DMA完了などのHW割り込みで次処理を起動・状態更新する（注記: Functions called from Config server library based on selection from GUI）,Functions called from Config server library based on selection from GUI,Functions called from Config server library based on selection from GUI,"pInterVlanCfg, gEthAppObj, getHandle",utils/ethfw/src/app_ethfw_freertos.c,共通/その他
,EthFwCallbacks_isPortLinked(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う（注記: lwIP callbacks (exact name required)）,lwIP callbacks (exact name required),lwIP callbacks (exact name required),"Enet_Handle, gEthAppObj",utils/ethfw/src/app_ethfw_freertos.c,共通/その他
,LwipifEnetAppCb_getHandle(),IPC通信,IPC通知起点,CPU間のイベント・パラメータ更新を通知／受信する（注記: 初期化する the Remote Config server (CPSW Proxy Server)）,Initialize the Remote Config server (CPSW Proxy Server),初期化する the Remote Config server (CPSW Proxy Server),"gEthAppObj, EthFwCallbacks_lwipifCpswGetHandle, LwipifEnetAppCb_releaseHandle, EthFwCallbacks_lwipifCpswReleaseHandle, ethFwCfg, Cpsw_Cfg, cpswCfg, EnetDma_Cfg, dmaCfg, resCfg",utils/ethfw/src/app_ethfw_freertos.c,共通/その他
,LwipifEnetAppCb_releaseHandle(),IPC通信,IPC通知起点,CPU間のイベント・パラメータ更新を通知／受信する（注記: Save host port MAC address）,Save host port MAC address,Save host port MAC address,"EthFwCallbacks_lwipifCpswReleaseHandle, gEthAppObj, ethFwCfg, Cpsw_Cfg, cpswCfg, EnetDma_Cfg, dmaCfg, resCfg, EthFwMcast_SharedMcastCfg, sharedMcastCfg",utils/ethfw/src/app_ethfw_freertos.c,共通/その他
,appEthFwEarlyInit(),初期化,IPC通知起点,モジュールやパラメータを初期化し、実行準備を行う（注記: Test VLAN config）,Test VLAN config,Test VLAN config,"semParams, gEthAppObj, EnetUtils_Cfg, SemaphoreP_Params, gEthApp_traceCfg, taskParams, gEthAppLwipStackBuf, gEthApp_lwipMainTaskSemObj, LwipifEnetAppCb_getHandle, EthFwCallbacks_lwipifCpswGetHandle",utils/ethfw/src/app_ethfw_freertos.c,共通/その他
,appGrpxDraw(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う,,,"draw2d_obj, Draw2D_clearBuf, g_app_grpx_obj, tivxTaskSetDefaultCreateParams",utils/grpx/src/app_grpx.c,共通/その他
,appGrpxDrawLoadBar(),初期化,関数呼び出し,モジュールやパラメータを初期化し、実行準備を行う,,,draw2d_obj,utils/grpx/src/app_grpx.c,共通/その他
,appGrpxDrawLoadBar2(),初期化,関数呼び出し,モジュールやパラメータを初期化し、実行準備を行う（注記: fill active load color）,fill active load color,fill active load color,draw2d_obj,utils/grpx/src/app_grpx.c,共通/その他
,appGrpxTaskMain(),表示制御,タスクループ,"処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: for full update, clear バッファ before calling callback）","for full update, clear buffer before calling callback","for full update, clear バッファ before calling callback","g_app_grpx_obj, draw2d_obj, tivxTaskSetDefaultCreateParams, Draw2D_Handle",utils/grpx/src/app_grpx.c,共通/その他
,appGrpxGetCpuLoad(),IPC通信,タスクループ,CPU間のイベント・パラメータ更新を通知／受信する（注記: draw CPU load as text）,draw CPU load as text,draw CPU load as text,g_app_grpx_obj,utils/grpx/src/app_grpx_cpu_load.c,共通/その他
,appGrpxGetDdrLoad(),初期化,関数呼び出し,モジュールやパラメータを初期化し、実行準備を行う（注記: draw CPU load as text）,draw CPU load as text,draw CPU load as text,g_app_grpx_obj,utils/grpx/src/app_grpx_ddr_load.c,共通/その他
,appGrpxGetHwaLoad(),IPC通信,タスクループ,CPU間のイベント・パラメータ更新を通知／受信する（注記: draw CPU load as text）,draw CPU load as text,draw CPU load as text,g_app_grpx_obj,utils/grpx/src/app_grpx_hwa_load.c,共通/その他
,appGrpxGetNumHwa(),初期化,タスクループ,モジュールやパラメータを初期化し、実行準備を行う,,,draw2d_obj,utils/grpx/src/app_grpx_hwa_load.c,共通/その他
,appGrpxDrawDefault(),その他,関数呼び出し,一般的な制御ロジックを実行する（注記: NOT SUPPORTED）,NOT SUPPORTED,NOT SUPPORTED,,utils/grpx/src/app_grpx_null.c,共通/その他
,appGrpxInitParamsInit(),初期化,関数呼び出し,モジュールやパラメータを初期化し、実行準備を行う（注記: NOT SUPPORTED）,NOT SUPPORTED,NOT SUPPORTED,"Draw2D_Handle, draw2d_obj",utils/grpx/src/app_grpx_null.c,共通/その他
,appGstDeInit(),終了処理,タスクループ,ノード／メモリ等のリソースを解放し、実行を終了する（注記: Set pipeline state to NULL）,Set pipeline state to NULL,Set pipeline state to NULL,"p_gst_pipe_obj, g_app_gst_wrapper_obj",utils/gst_wrapper/src/gst_wrapper.c,共通/その他
,appGstPrintStats(),その他,関数呼び出し,一般的な制御ロジックを実行する,,,"p_gst_pipe_obj, g_app_gst_wrapper_obj",utils/gst_wrapper/src/gst_wrapper.c,共通/その他
,appEglBindFrameBuffer(),IPC通信,タスクループ,CPU間のイベント・パラメータ更新を通知／受信する（注記: Creates texture and eglimage objects）,Creates texture and eglimage objects,Creates texture and eglimage objects,"tex_obj, screen_pbuf",utils/opengl/src/a72/app_gl_egl_utils_qnx.c,共通/その他
,appEglCheckEglError(),表示制御,タスクループ,処理済みフレームをモザイク合成し、DSS経由でディスプレイに表示する（注記: native handle for our window）,native handle for our window,native handle for our window,"tex_obj, screen_pbuf",utils/opengl/src/a72/app_gl_egl_utils_qnx.c,共通/その他
